State_Stn_Num Latitude Longitude0
WY_554 42.267 -110.8002493.264
WY_555 43.233 -110.0002359.152
WY_560 43.850 -109.3172910.84
WY_571 42.433 -105.8502552.7
WY_1134 42.567 -109.0832743.2
WY_577 44.200 -110.6502392.68
WY_1131 44.533 -107.1672703.576
WY_1047 41.067 -106.9332717.292
WY_585 43.500 -109.7502855.976
WY_597 43.167 -110.1332511.552
WY_616 44.300 -109.2332670.048
WY_625 43.617 -107.1672365.248
WY_661 43.100 -109.9332542.032
WY_668 41.317 -106.3673087.624
WY_673 41.150 -106.9673048
WY_676 43.650 -109.0002735.58
WY_683 44.733 -109.9002865.12
WY_689 43.517 -110.9002499.36
WY_1133 42.700 -109.4002852.928
WY_703 44.150 -107.1172889.504
WY_716 42.567 -106.0832560.32
WY_1015 41.400 -107.2502392.68
WY_730 42.500 -110.9002365.248
WY_731 41.450 -106.2673063.24
WY_732 41.100 -107.1672484.12
WY_751 44.500 -107.4172919.984
WY_764 44.133 -110.6672109.216
WY_765 42.483 -110.5172456.688
WY_1132 44.333 -107.0172657.856
WY_772 41.317 -106.5002572.512
WY_775 42.567 -108.8332755.392
WY_779 42.517 -110.6502743.2
WY_786 43.017 -109.1672627.376
WY_798 44.717 -107.4002706.624
WY_806 44.467 -110.1502566.416
WY_807 44.467 -110.0332170.176
WY_816 44.367 -110.5672432.304
WY_818 44.800 -107.4002093.976
WY_819 44.017 -109.1672423.16
WY_822 43.733 -110.0502919.984
WY_826 42.683 -108.8832651.76
WY_831 42.750 -110.5832590.8
WY_837 44.150 -110.2172816.352
WY_852 41.150 -106.9172819.4
WY_859 41.000 -106.9002727.96
WY_868 42.800 -110.8332554.224
WY_872 42.267 -105.5672407.92
WY_875 44.800 -109.6502331.72
WY_878 43.917 -109.8172545.08
